TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2021,7,14,13,40,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,7,15,12,11,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,7,16,11,14,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,7,23,20,5,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,7,30,16,14,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,6,16,23,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,11,13,22,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,13,15,58,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,17,19,48,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,20,8,40,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,22,9,45,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,8,22,14,0,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,2,14,9,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,9,14,13,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,9,20,30,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,10,18,20,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,18,10,13,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,18,19,15,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,9,23,16,30,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,10,8,17,32,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,10,16,17,0,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,10,29,8,49,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,11,1,16,35,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,11,2,18,10,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,11,10,14,51,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,2,9,4,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,8,9,20,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,16,14,5,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,20,20,9,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,23,16,50,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,12,31,6,49,9XX TERMINAL AVE,Strathcona,493906.4997,5457452.474
Other Theft,2021,2,4,6,20,9XX W 10TH AVE,Fairview,490927.0819,5456629.6412
Other Theft,2021,5,28,4,14,9XX W 10TH AVE,Fairview,490927.0819,5456629.6412
Other Theft,2021,2,15,20,0,9XX W 16TH AVE,South Cambie,490792.9236,5456040.763
Other Theft,2021,10,8,10,30,9XX W 20TH AVE,South Cambie,490843.6453,5455640.3005
Other Theft,2021,10,4,5,14,9XX W 37TH AVE,South Cambie,490706.2966,5453876.8639
Other Theft,2021,12,31,1,34,9XX W 64TH AVE,Marpole,490702.3655,5451140.5094
Other Theft,2021,8,27,5,9,9XX W 70TH AVE,Marpole,490620.9265,5450641.1728
Other Theft,2021,9,28,18,45,9XX W 8TH AVE,Fairview,490945.7992,5456839.6165
Other Theft,2021,3,21,10,53,9XX W 8TH AVE,Fairview,490959.3152,5456839.2641
Other Theft,2021,10,4,16,15,9XX W BROADWAY AVE,Fairview,490868.5049,5456748.3296
Other Theft,2021,1,21,22,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Other Theft,2021,2,11,12,59,9XX W GEORGIA ST,Central Business District,491249.6179,5459030.2409
Other Theft,2021,8,9,14,52,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Other Theft,2021,10,5,5,8,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Other Theft,2021,1,9,11,15,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Other Theft,2021,2,9,7,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Other Theft,2021,2,22,14,57,9XX W HASTINGS ST,Central Business District,491501.3856,5459388.0897
Other Theft,2021,2,22,16,36,9XX W HASTINGS ST,Central Business District,491566.9312,5459340.1101
Other Theft,2021,9,1,15,58,9XX W KING EDWARD AVE,South Cambie,490741.884,5455154.5457
Other Theft,2021,3,2,11,51,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,4,21,19,0,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,5,20,11,21,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,6,20,16,30,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,7,5,16,33,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,8,10,22,37,9XX W KING EDWARD AVE,South Cambie,490745.2938,5455154.4849
Other Theft,2021,9,6,15,9,9XX W KING EDWARD AVE,South Cambie,490913.7041,5455151.4843
Other Theft,2021,6,4,15,30,9XX WESTBURY WALK,Marpole,490649.8244,5451677.7132
Other Theft,2021,7,4,18,0,ABBOTT ST / EXPO BLVD,Central Business District,492170.872,5458437.7708
Other Theft,2021,5,7,11,38,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Other Theft,2021,5,16,12,50,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Other Theft,2021,6,10,21,33,ABBOTT ST / KEEFER PL,Central Business District,492171.877,5458556.1886
Other Theft,2021,3,27,21,30,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Other Theft,2021,6,2,17,0,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Other Theft,2021,9,29,17,40,ABBOTT ST / W CORDOVA ST,Central Business District,492233.1572,5458913.794
Other Theft,2021,10,1,0,0,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
Other Theft,2021,11,5,16,35,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9207,5458810.8912
Other Theft,2021,5,16,12,45,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
Other Theft,2021,8,20,22,53,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
Other Theft,2021,11,8,17,14,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
Other Theft,2021,5,1,0,0,ABBOTT ST / WATER ST,Central Business District,492260.9736,5459020.968
Other Theft,2021,2,16,14,55,ADANAC ST / KAMLOOPS ST,Hastings-Sunrise,496027.7982,5458303.0507
Other Theft,2021,9,23,19,0,ADERA ST / W 41ST AVE,Kerrisdale,489565.4303,5453522.4779
Other Theft,2021,9,3,21,0,ALBERNI ST / THURLOW ST,West End,491003.6118,5459185.0025
Other Theft,2021,9,8,16,20,ALDER ST / W 8TH AVE,Fairview,490446.3125,5456856.7131
Other Theft,2021,5,4,11,0,ALEXANDER ST / DUNLEVY AVE,Strathcona,493069.6886,5459033.7521
Other Theft,2021,9,27,4,41,ALMA ST / W 10TH AVE,Kitsilano,486474.7705,5456763.0666
Other Theft,2021,7,2,16,0,ARBUTUS ST / W 4TH AVE,Kitsilano,488885.8573,5457272.9884
Other Theft,2021,8,20,18,0,ARGYLE ST / E 49TH AVE,Victoria-Fraserview,494774.8605,5452495.2997
Other Theft,2021,12,21,17,15,ASH ST / W 12TH AVE,Fairview,491441.231,5456415.0955
Other Theft,2021,1,7,10,26,ASH ST / W 8TH AVE,Fairview,491453.966,5456830.342
Other Theft,2021,4,4,22,0,ASH ST / W BROADWAY AVE,Fairview,491449.6182,5456727.3828
Other Theft,2021,7,13,13,0,ASH ST / W BROADWAY AVE,Fairview,491449.6182,5456727.3828
Other Theft,2021,7,31,2,0,ATHLETES WAY / COLUMBIA ST,Mount Pleasant,492043.1009,5457653.7778
Other Theft,2021,5,15,0,30,ATHLETES WAY / MANITOBA ST,Mount Pleasant,492242.9718,5457648.0115
Other Theft,2021,9,12,12,30,ATHLETES WAY / MANITOBA ST,Mount Pleasant,492242.9718,5457648.0115
Other Theft,2021,8,18,18,30,ATHLETES WAY / SALT ST,Mount Pleasant,492284.609,5457646.8412
Other Theft,2021,7,3,13,0,AVISON WAY / STANLEY PARK DR,Stanley Park,490489.4195,5460577.3756
Other Theft,2021,10,15,14,0,BALFOUR AVE / OSLER ST,Shaughnessy,490542.4192,5455474.9751
Other Theft,2021,8,3,2,0,BALKAN ST / E 26TH AVE,Riley Park,493051.3081,5454959.2632
Other Theft,2021,2,17,11,14,BALSAM ST / CORNWALL AVE,Kitsilano,488383.4126,5457778.8426
Other Theft,2021,8,24,15,0,BARCLAY ST / CARDERO ST,West End,490228.5983,5459482.8966
Other Theft,2021,11,2,15,0,BARCLAY ST / DENMAN ST,West End,489997.8445,5459711.4683
Other Theft,2021,9,4,11,9,BARCLAY ST / GILFORD ST,West End,489883.1445,5459824.1832
Other Theft,2021,12,3,1,0,BEACH AVE / DAVIE ST,West End,489646.6964,5459446.4527
Other Theft,2021,9,18,13,45,BEACH CRES / RICHARDS ST,Central Business District,490664.2407,5457832.8626
Other Theft,2021,12,11,5,0,BEATTY ST / DUNSMUIR ST,Central Business District,491960.3798,5458570.8619
Other Theft,2021,8,22,1,54,BEATTY ST / SMITHE ST,Central Business District,491593.4453,5458204.3752
Other Theft,2021,10,8,15,15,BEGG ST / EVANS AVE,Strathcona,493669.7392,5457668.4403
Other Theft,2021,9,27,11,0,BIDWELL ST / DAVIE ST,West End,489801.6647,5459286.1766
Other Theft,2021,3,22,8,45,BOUNDARY RD / LOUGHEED HWY,Renfrew-Collingwood,498275.8021,5456982.9149
Other Theft,2021,8,11,3,37,BRANT ST / E 25TH AVE,Kensington-Cedar Cottage,495777.9353,5455038.6067
Other Theft,2021,9,3,19,0,BROUGHTON ST / W HASTINGS ST,Central Business District,490780.0006,5459701.1735
Other Theft,2021,9,7,17,0,BURNABY ST / CARDERO ST,West End,489837.4566,5459092.1946
Other Theft,2021,6,15,1,0,BURNABY ST / THURLOW ST,West End,490381.7782,5458553.1254
Other Theft,2021,9,10,19,30,BURRARD ST / CANADA PL,Central Business District,491602.0878,5459490.7988
Other Theft,2021,8,24,21,0,BURRARD ST / COMOX ST,West End,490757.4551,5458643.8636
Other Theft,2021,4,28,9,25,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.3284
Other Theft,2021,6,26,15,50,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.3284
Other Theft,2021,7,7,10,30,BURRARD ST / DAVIE ST,West End,490604.1485,5458488.3285
Other Theft,2021,1,16,19,30,BURRARD ST / MELVILLE ST,Central Business District,491271.8548,5459162.6249
Other Theft,2021,3,24,0,15,BURRARD ST / NELSON ST,West End,490833.2787,5458723.2683
Other Theft,2021,11,4,1,0,BURRARD ST / NELSON ST,West End,490833.2787,5458723.2683
Other Theft,2021,6,14,18,47,BURRARD ST / SMITHE ST,West End,490950.9624,5458837.6462
Other Theft,2021,7,17,21,21,BURRARD ST / SMITHE ST,West End,490950.9624,5458837.6462
Other Theft,2021,8,17,21,30,BURRARD ST / W 1ST AVE,Fairview,489416.7506,5457555.338
Other Theft,2021,11,13,20,10,BURRARD ST / W 4TH AVE,Fairview,489404.7672,5457259.6245
Other Theft,2021,6,2,11,30,BURRARD ST / W 6TH AVE,Fairview,489402.7805,5457070.449
Other Theft,2021,10,4,8,0,BURRARD ST / W BROADWAY AVE,Fairview,489395.3769,5456781.1525
Other Theft,2021,11,26,19,11,BURRARD ST / W BROADWAY AVE,Fairview,489395.3772,5456781.1522
Other Theft,2021,11,14,23,28,BURRARD ST / W GEORGIA ST,West End,491193.2022,5459080.028
Other Theft,2021,8,28,13,0,BURRARD ST / W GEORGIA ST,Central Business District,491193.2025,5459080.0284
Other Theft,2021,4,23,14,30,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619
Other Theft,2021,10,15,20,0,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619
Other Theft,2021,10,16,19,0,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619
Other Theft,2021,11,3,3,0,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619
Other Theft,2021,7,30,18,34,BUTE ST / PENDRELL ST,West End,490376.2491,5458872.2069
Other Theft,2021,2,27,20,30,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Other Theft,2021,12,23,9,45,BUTE ST / ROBSON ST,West End,490767.2449,5459254.5984
Other Theft,2021,2,25,0,0,BUTE ST / W HASTINGS ST,Central Business District,491073.0521,5459567.7958
Other Theft,2021,6,6,14,32,BUTE ST / W HASTINGS ST,Central Business District,491073.0521,5459567.7958
Other Theft,2021,1,5,0,30,BUTE ST / W PENDER ST,Central Business District,491027.554,5459520.0552
Other Theft,2021,7,20,8,47,BUTE ST / W PENDER ST,Central Business District,491027.554,5459520.0552
Other Theft,2021,9,17,23,40,BUTE ST / W PENDER ST,Central Business District,491027.554,5459520.0552
Other Theft,2021,11,5,0,0,CAMBIE ST / NELSON ST,Central Business District,491405.1788,5458158.2779
Other Theft,2021,7,13,21,39,CAMBIE ST / ROBSON ST,Central Business District,491638.2792,5458390.14
Other Theft,2021,4,14,13,30,CAMBIE ST / W 10TH AVE,Fairview,491634.8887,5456614.8824
Other Theft,2021,5,21,18,30,CAMBIE ST / W 12TH AVE,Fairview,491628.4363,5456410.0605
Other Theft,2021,10,26,12,45,CAMBIE ST / W 12TH AVE,Fairview,491628.4363,5456410.0605
Other Theft,2021,8,12,20,0,CAMBIE ST / W 18TH AVE,Riley Park,491619.939,5455799.2473
Other Theft,2021,10,13,7,0,CAMBIE ST / W 18TH AVE,Riley Park,491619.939,5455799.2473
Other Theft,2021,8,1,7,0,CAMBIE ST / W 2ND AVE,Fairview,491630.5393,5457347.5033
Other Theft,2021,3,9,18,30,CAMBIE ST / W 33RD AVE,South Cambie,491371.8946,5454263.8352
Other Theft,2021,10,31,7,0,CAMBIE ST / W 41ST AVE,Oakridge,491528.4075,5453418.2887
Other Theft,2021,8,6,17,10,CAMBIE ST / W 49TH AVE,Oakridge,491506.6601,5452595.2974
Other Theft,2021,12,9,16,3,CAMBIE ST / W 8TH AVE,Fairview,491641.6548,5456817.7824
Other Theft,2021,4,18,20,2,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806
Other Theft,2021,6,28,17,52,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806
Other Theft,2021,9,14,22,0,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806
Other Theft,2021,1,11,20,30,CAMBIE ST / W BROADWAY AVE,Fairview,491638.428,5456722.3789
Other Theft,2021,5,11,8,7,CAMBIE ST / W BROADWAY AVE,Fairview,491638.428,5456722.3789
Other Theft,2021,8,13,17,50,CAMBIE ST / W BROADWAY AVE,Fairview,491638.428,5456722.3789
Other Theft,2021,10,11,13,0,CAMBIE ST / W BROADWAY AVE,Fairview,491638.428,5456722.3789
Other Theft,2021,10,9,16,4,CAMBIE ST / W HASTINGS ST,Central Business District,492028.3043,5458872.7094
Other Theft,2021,7,2,15,0,CAMBIE ST / W KENT AVE N,Marpole,491456.4285,5450370.8306
Other Theft,2021,4,6,16,14,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Other Theft,2021,10,25,14,30,CAMBIE ST / WATER ST,Central Business District,492085.8221,5459067.7424
Other Theft,2021,11,20,18,30,CAMPBELL AVE / E HASTINGS ST,Strathcona,493832.6688,5458702.2878
Other Theft,2021,1,11,15,40,CAMPBELL AVE / KEEFER ST,Strathcona,493826.4317,5458497.7739
Other Theft,2021,5,14,18,40,CAMPBELL AVE / PRIOR ST,Strathcona,493817.4958,5458196.4222
Other Theft,2021,2,5,14,29,CARDERO ST / DAVIE ST,West End,489915.3258,5459172.7169
Other Theft,2021,2,5,18,40,CARDERO ST / ROBSON ST,West End,490380.7894,5459638.0788
Other Theft,2021,6,20,19,27,CARRALL ST / E CORDOVA ST,Central Business District,492416.8336,5458858.1411
Other Theft,2021,1,17,12,0,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,1,28,20,30,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,3,4,13,45,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,4,9,19,30,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,5,15,5,36,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,7,23,19,13,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,8,25,9,30,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,12,22,14,0,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,1,14,18,2,CARRALL ST / E PENDER ST,Central Business District,492408.4344,5458642.8036
Other Theft,2021,12,25,17,0,CARRALL ST / KEEFER PL,Central Business District,492401.9923,5458502.0813
Other Theft,2021,8,15,19,45,CARRALL ST / PACIFIC BLVD,Central Business District,492257.5987,5458266.5561
Other Theft,2021,3,26,18,11,CARRALL ST / W HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,6,23,21,11,CARRALL ST / W HASTINGS ST,Central Business District,492412.3453,5458751.9902
Other Theft,2021,1,13,10,0,CARRALL ST / W PENDER ST,Central Business District,492408.4365,5458642.8001
Other Theft,2021,10,12,12,36,CENTRAL ST / QUEBEC ST,Mount Pleasant,492593.4372,5457685.3918
Other Theft,2021,10,3,22,0,CHARLES ST / COMMERCIAL DR,Grandview-Woodland,494938.4455,5457811.215
Other Theft,2021,8,15,1,0,CHILCO ST / HARO ST,West End,489860.6234,5460000.9761
Other Theft,2021,2,1,16,0,CITADEL PRDE / DUNSMUIR VIA,Central Business District,491999.7135,5458531.8454
Other Theft,2021,8,29,4,0,CLARK DR / E BROADWAY AVE,Mount Pleasant,494352.284,5456628.3642
Other Theft,2021,7,18,18,29,COAL HARBOUR QUAY / NICOLA ST,Central Business District,490726.3402,5459824.7194
Other Theft,2021,9,5,22,35,COLUMBIA ST / E CORDOVA ST,Central Business District,492565.3681,5458848.6444
Other Theft,2021,1,26,16,40,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Other Theft,2021,2,24,13,11,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Other Theft,2021,5,21,17,7,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Other Theft,2021,12,16,19,0,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4333,5458743.6252
Other Theft,2021,5,15,15,36,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Other Theft,2021,12,26,14,15,COLUMBIA ST / POWELL ST,Central Business District,492568.4772,5458948.1492
Other Theft,2021,7,16,13,0,COMMERCIAL DR / E 10TH AVE,Kensington-Cedar Cottage,494920.3381,5456517.1513
Other Theft,2021,10,2,0,35,COMMERCIAL DR / E 10TH AVE,Kensington-Cedar Cottage,494920.3381,5456517.1513
Other Theft,2021,2,8,17,0,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272
Other Theft,2021,11,10,17,0,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272
Other Theft,2021,3,9,1,30,COMMERCIAL DR / E HASTINGS ST,Grandview-Woodland,494879.8653,5458723.9695
Other Theft,2021,4,25,17,31,COMMERCIAL DR / E PENDER ST,Grandview-Woodland,494877.6344,5458616.8141
Other Theft,2021,8,8,8,52,COMMERCIAL DR / FRANCES ST,Grandview-Woodland,494875.8825,5458516.2507
Other Theft,2021,8,24,11,45,COMMERCIAL DR / KITCHENER ST,Grandview-Woodland,494936.513,5457711.1521
Other Theft,2021,5,1,12,48,COMMERCIAL DR / NAPIER ST,Grandview-Woodland,494941.3236,5458014.1765
Other Theft,2021,2,17,19,15,COMMERCIAL ST / E 47TH AVE,Victoria-Fraserview,495023.131,5452764.6788
Other Theft,2021,5,30,16,0,COMOX ST / THURLOW ST,West End,490610.8973,5458790.2684
Other Theft,2021,8,30,16,0,CORNWALL AVE / MAPLE ST,Kitsilano,489072.3895,5457761.3885
Other Theft,2021,4,25,20,54,CORNWALL AVE / YEW ST,Kitsilano,488726.3982,5457770.0356
Other Theft,2021,6,22,19,30,DAVIE ST / DENMAN ST,West End,489686.5487,5459400.7087
Other Theft,2021,1,26,9,3,DAVIE ST / GRANVILLE ST,Central Business District,490821.3141,5458274.1466
Other Theft,2021,8,28,4,0,DAVIE ST / GRANVILLE ST,Central Business District,490821.3141,5458274.1466
Other Theft,2021,9,5,1,0,DAVIE ST / GRANVILLE ST,Central Business District,490821.3141,5458274.1466
Other Theft,2021,9,30,19,0,DAVIE ST / GRANVILLE ST,Central Business District,490821.3141,5458274.1466
Other Theft,2021,11,24,13,31,DAVIE ST / GRANVILLE ST,Central Business District,490821.3141,5458274.1466
Other Theft,2021,9,10,2,30,DAVIE ST / HAMILTON ST,Central Business District,491077.4706,5458019.9442
Other Theft,2021,7,7,17,0,DAVIE ST / HOMER ST,Central Business District,491033.2549,5458061.6829
Other Theft,2021,3,12,8,10,DAVIE ST / HOWE ST,Central Business District,490748.5904,5458346.3184
Other Theft,2021,1,15,19,30,DAVIE ST / MAINLAND ST,Central Business District,491115.8218,5457981.2725
Other Theft,2021,10,18,17,25,DAVIE ST / NICOLA ST,West End,490001.6679,5459086.9464
Other Theft,2021,12,26,6,56,DAVIE ST / PACIFIC BLVD,Central Business District,491162.9519,5457932.715
Other Theft,2021,5,10,17,15,DAVIE ST / RICHARDS ST,Central Business District,490961.8124,5458133.405
Other Theft,2021,4,14,1,53,DAVIE ST / THURLOW ST,West End,490456.6507,5458633.7717
Other Theft,2021,10,2,4,0,DAVIE ST / THURLOW ST,West End,490456.6507,5458633.7717
Other Theft,2021,2,27,15,0,DAVIE ST / THURLOW ST,West End,490456.6509,5458633.7717
Other Theft,2021,10,22,17,0,DENMAN ST / ROBSON ST,West End,490148.8817,5459867.8024
Other Theft,2021,12,7,14,0,DENMAN ST / ROBSON ST,West End,490148.8817,5459867.8024
Other Theft,2021,11,6,0,0,DENMAN ST / W GEORGIA ST,West End,490276.8955,5459994.7654
Other Theft,2021,11,10,19,0,DRAKE ST / GRANVILLE ST,Central Business District,490706.9057,5458156.82
Other Theft,2021,7,13,14,4,DUNBAR ST / W 12TH AVE,Kitsilano,486617.8249,5456557.2395
Other Theft,2021,2,4,11,8,DUNLEVY AVE / E HASTINGS ST,Strathcona,493061.1076,5458728.899
Other Theft,2021,10,28,20,7,DUNSMUIR ST / GRANVILLE ST,Central Business District,491535.5975,5458993.2215
Other Theft,2021,5,10,17,40,DUNSMUIR ST / HOWE ST,Central Business District,491464.1457,5459064.7482
Other Theft,2021,12,3,14,40,DUNSMUIR ST / HOWE ST,Central Business District,491464.1457,5459064.7482
Other Theft,2021,1,8,16,10,DUNSMUIR ST / MELVILLE ST,Central Business District,491191.4943,5459266.8648
Other Theft,2021,9,13,2,0,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.5155,5458920.9835
Other Theft,2021,3,18,15,0,E 10TH AVE / QUEBEC ST,Mount Pleasant,492505.8988,5456590.8815
Other Theft,2021,6,24,21,0,E 11TH AVE / SOPHIA ST,Mount Pleasant,492849.5277,5456483.9896
Other Theft,2021,6,4,12,30,E 16TH AVE / KINGSWAY AVE,Kensington-Cedar Cottage,493510.2468,5455963.471
Other Theft,2021,5,15,12,0,E 1ST AVE / RUPERT ST,Hastings-Sunrise,497540.3138,5457420.1167
Other Theft,2021,10,11,16,40,E 1ST AVE / SCOTIA ST,Strathcona,492915.4961,5457295.4487
Other Theft,2021,12,19,13,50,E 21ST AVE / SLOCAN ST,Renfrew-Collingwood,496389.8389,5455421.0305
Other Theft,2021,6,24,14,10,E 22ND AVE / MAIN ST,Riley Park,492651.1174,5455359.8849
Other Theft,2021,4,2,8,0,E 26TH AVE / VICTORIA DR,Kensington-Cedar Cottage,495262.1445,5454985.9764
Other Theft,2021,6,26,22,0,E 32ND AVE / FLEMING ST,Kensington-Cedar Cottage,494745.4061,5454317.4016
Other Theft,2021,10,18,20,0,E 32ND AVE / SOPHIA ST,Riley Park,492812.3262,5454389.1567
Other Theft,2021,12,19,15,11,E 33RD AVE / MAIN ST,Riley Park,492614.1962,5454196.9607
Other Theft,2021,12,11,17,50,E 37TH AVE / VICTORIA DR,Kensington-Cedar Cottage,495235.4227,5453769.655
Other Theft,2021,7,26,16,0,E 37TH AVE / WINDSOR ST,Kensington-Cedar Cottage,493832.3124,5453749.2474
Other Theft,2021,10,19,13,0,E 40TH AVE / VICTORIA DR,Kensington-Cedar Cottage,495233.9265,5453462.2605
Other Theft,2021,5,25,18,0,E 41ST AVE / FRASER ST,Sunset,493407.6951,5453341.8346
Other Theft,2021,11,22,16,30,E 41ST AVE / FRASER ST,Riley Park,493407.6951,5453341.8346
Other Theft,2021,1,30,14,45,E 41ST AVE / JOYCE ST,Renfrew-Collingwood,497341.9755,5453425.2764
Other Theft,2021,1,25,11,15,E 41ST AVE / ST GEORGE ST,Riley Park,493115.9903,5453354.9986
Other Theft,2021,9,13,16,28,E 41ST AVE / VICTORIA DR,Victoria-Fraserview,495229.7606,5453325.7475
Other Theft,2021,7,25,13,20,E 49TH AVE / MAIN ST,Sunset,492599.4358,5452545.5844
Other Theft,2021,9,13,22,30,E 49TH AVE / VICTORIA DR,Victoria-Fraserview,495211.6049,5452489.3887
Other Theft,2021,8,18,2,0,E 49TH AVE / VIVIAN ST,Killarney,496334.6752,5452444.7372
Other Theft,2021,4,8,21,16,E 4TH AVE / RENFREW ST,Hastings-Sunrise,496779.2586,5457101.5171
Other Theft,2021,9,7,0,0,E 4TH AVE / SKEENA ST,Hastings-Sunrise,497928.9591,5457096.4839
Other Theft,2021,3,2,14,41,E 51ST AVE / FRASER ST,Sunset,493385.3482,5452313.574
Other Theft,2021,6,17,17,0,E 5TH AVE / NANAIMO ST,Grandview-Woodland,495883.2407,5457016.5688
Other Theft,2021,9,19,16,30,E 6TH AVE / GLEN DR,Strathcona,494084.6875,5456945.1477
Other Theft,2021,9,25,16,15,E 7TH AVE / ST GEORGE ST,Mount Pleasant,493236.4896,5456848.9292
Other Theft,2021,4,10,20,44,E 8TH AVE / KINGSWAY AVE,Mount Pleasant,492715.6261,5456773.6643
Other Theft,2021,11,21,11,37,E 8TH AVE / MAIN ST,Mount Pleasant,492649.7337,5456775.4592
Other Theft,2021,8,19,22,20,E 8TH AVE / PRINCE EDWARD ST,Mount Pleasant,493020.4141,5456750.4348
Other Theft,2021,9,30,18,0,E BROADWAY AVE / FRASER ST,Mount Pleasant,493514.7984,5456639.1484
Other Theft,2021,11,12,16,0,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749.521,5456683.8049
Other Theft,2021,10,14,14,15,E BROADWAY AVE / MAIN ST,Mount Pleasant,492648.2569,5456688.4972
