"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","17640738","17640737","6049510885","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 10:00 - 14:00; Sun 10:00 - 14:00; Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm.","3110-10153 King George Blvd","","","","Surrey","BC","V3T 2W1","49.186983","-122.845564","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=17640737"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","28093075","28093049","6045828820","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 07:00 - 19:00; Tue 07:30 - 19:00; Wed 07:30 - 19:00; Thu 07:30 - 19:00; Fri 07:30 - 19:00; Sat 09:00 - 16:00; Sun 09:00 - 16:00; Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm.","106-15966 108th Avenue","","","","Surrey","BC","V4N 5V6","49.198600","-122.780000","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093049"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","28093077","28093052","6045430888","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 07:00 - 15:00; Tue 07:00 - 15:00; Wed 07:00 - 15:00; Thu 07:00 - 15:00; Fri 07:00 - 15:00; Sat 07:00 - 14:00; Sun 07:00 - 13:30; Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm.","115-12080 Nordel Way","","","","Surrey","BC","V3W 1P6","49.161098","-122.888604","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093052"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","28093079","28093045","6045843531","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 07:00 - 21:00; Tue 07:00 - 21:00; Wed 07:00 - 21:00; Thu 07:00 - 21:00; Fri 07:00 - 21:00; Sat 08:30 - 21:00; Sun 08:30 - 21:00; Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm.","12860 96th Avenue","","","","Surrey","BC","V3V 6A8","49.176233","-122.865951","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093045"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","28093083","28093056","6049400917","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 08:30 - 15:30; Tue 08:30 - 15:30; Wed 08:30 - 15:30; Thu 08:30 - 15:30; Fri 08:30 - 15:30; Sat 08:30 - 15:30; Sun 08:30 - 15:30; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","5132 Ladner Trunk Road","","","","Delta","BC","V4K 1W3","49.090230","-123.080931","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093056"
"LN-9300","Walk In Medical Clinics","17640735","Denning Health Group","17640736","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details. No appointment required.","28093085","28093054","6045888181","https://denninghealth.ca/find-a-doctor/",,"Y",,"Mon 07:00 - 17:00; Tue 07:00 - 17:00; Wed 07:00 - 17:00; Thu 07:00 - 17:00; Fri 07:00 - 17:00; Sat 09:00 - 13:00; Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm.","8960 152nd Street","","","","Surrey","BC","V3R 4E4","49.165450","-122.800771","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093054"
"LN-9300","Walk In Medical Clinics","17640739","Whistler Medical Clinic","17640740","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Walk-in service available, or call to book a same or next-day in-person appointment. It is recommended that you call before going to the clinic to confirm hours and availability.","17640742","17640741","6049323977","https://whistlermedicalclinic.com/",,"Y",,"Mon 08:30 - 17:00; Tue 08:30 - 17:00; Wed 08:30 - 17:00; Thu 08:30 - 17:00; Fri 08:30 - 17:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Walk-in service available Sat and Sun; and Mon - Fri appointments are by phone only. Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm. Closed Christmas Day.","201-4380 Lorimer Road","","","","Whistler","BC","V8E 1A7","50.120046","-122.955147","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640740&SiteResourceAgencyNum=17640741"
"LN-9300","Walk In Medical Clinics","17640743","University Village Medical","17640744","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted.","17640746","17640745","6042222273","http://www.universityvillageclinic.com/medical.html",,"Y",,"Mon 08:00 - 17:00; Tue 08:00 - 17:00; Wed 08:00 - 17:00; Thu 08:00 - 17:00; Fri 08:00 - 17:00; Sat 09:00 - 15:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","2155 Allison Road","","","","Vancouver","BC","V6T 1T5","49.266463","-123.242117","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640744&SiteResourceAgencyNum=17640745"
"LN-9300","Walk In Medical Clinics","17640743","University Village Medical","17640744","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted.","58173889","58173885","6042222273","http://www.universityvillageclinic.com/medical.html",,"Y",,"Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Sat 09:00 - 12:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","5933 Birney Avenue","","","","Vancouver","BC","V6T 1W5","49.253464","-123.235533","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640744&SiteResourceAgencyNum=58173885"
"LN-9300","Walk In Medical Clinics","17641018","Sullivan Medical Clinic","17641019","Walk-in Clinic","Provides medical care by phone for non-urgent medical concerns such as fever, cold and flu symptoms, rashes, and minor injury, pain or infection. In-person services are not available. Online appointment booking is available; see website.","17641021","17641020","6043036342","http://www.sullivanmedicalclinic.com/services/",,"Y",,"Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30; Sat 09:00 - 13:00; Note that hours are subject to physician availability and patient volume. Clinic hours vary; call to confirm. Closed statutory holidays.","108-15325 56th Avenue","","","","Surrey","BC","V3S 0X9","49.104505","-122.798666","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641019&SiteResourceAgencyNum=17641020"
"LN-9300","Walk In Medical Clinics","17641389","Shoreline Medical","17641390","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted.","17641392","17641391","2506564143","https://shorelinemedical.ca/",,"Y",,"Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","2A-2379 Bevan Avenue","","","","Sidney","BC","V8L 4M9","48.647652","-123.401503","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641390&SiteResourceAgencyNum=17641391"
"LN-9300","Walk In Medical Clinics","17641389","Shoreline Medical","17641390","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted.","63546021","63545811","2506529191","https://shorelinemedical.ca/",,"Y",,"Mon 09:00 - 12:00; Tue 09:00 - 12:00; Wed 09:00 - 12:00; Thu 09:00 - 12:00; Fri 09:00 - 12:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","102-7143 W Saanich Road","","","","Brentwood Bay","BC","V8M 1P7","48.577122","-123.446966","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641390&SiteResourceAgencyNum=63545811"
"LN-9300","Walk In Medical Clinics","17641393","Burnside Family Medical Clinic","17641394","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule.","17641396","17641395","2503814353","https://www.burnsideclinic.ca/",,"Y",,"Mon 07:30 - 21:00; Tue 07:30 - 21:00; Wed 07:30 - 21:00; Thu 07:30 - 21:00; Fri 07:30 - 18:00; Sat 09:00 - 16:00; Sun 09:00 - 16:00; Note that hours are subject to physician availability and patient volume. Clinic hours vary; call to confirm.","101 Burnside Road W","","","","Victoria","BC","V9A 1B7","48.450810","-123.387382","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641394&SiteResourceAgencyNum=17641395"
"LN-9300","Walk In Medical Clinics","17642168","Archway Community Services","17642175","Abbotsford Youth Health Centre","Provides youth with general health services in a youth-friendly, safe, confidential and non-judgmental environment. The centre helps youth connect with the support and help available in the community, recognize high-risk behaviours, and empower them to be active participants in their health care. Services include general health care, STI testing and treatment, birth control, counselling, mental health and substance use support, peer support, and access to social services.","17642177","17642176","6047463392","https://archway.ca/program/abbotsford-youth-health-centre/","ayhc@foundryabbotsford.ca","Y",,"Tue 15:00 - 19:00; Wed 15:00 - 18:00; Thu 15:00 - 18:00;","101-32555 Simon Avenue","","","","Abbotsford","BC","V2T 4Y2","49.053349","-122.323080","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17642175&SiteResourceAgencyNum=17642176"
"LN-9300","Walk In Medical Clinics","17642961","Hillside Medical Clinic","17642962","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Walk-in service available, or call to book a same day phone appointment.","17642964","17642963","2507636322","https://www.evolvealliedhealth.ca/locations",,"Y",,"Mon 08:30 - 16:00; Tue 08:30 - 16:00; Wed 08:30 - 16:00; Thu 08:30 - 16:00; Fri 08:30 - 16:00; Sat 09:00 - 14:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","114-1920 Summit Drive","","","","Kelowna","BC","V1V 3E9","49.901555","-119.453356","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17642962&SiteResourceAgencyNum=17642963"
"LN-9300","Walk In Medical Clinics","17652139","Northern Health","17653501","Walk-in Clinic","Provides access to non-urgent medical care by in-person visit or virtual appointment for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","17653502","17652205","2505669138","https://www.northernhealth.ca/find-a-facility/medical-clinics/valemount-health-centre",,"Y",,"Mon 08:45 - 11:00; Tue 08:45 - 11:00; Wed 08:45 - 11:00; Thu 08:45 - 11:00; Fri 08:45 - 11:00; Appointment required; no walk-in accepted. Hours are subject to physician availability and patient volume. Closed statutory holidays.","1445 5th Avenue","","","","Valemount","BC","V0E 2Z0","52.832060","-119.270254","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=17652205"
"LN-9300","Walk In Medical Clinics","17652139","Northern Health","17653501","Walk-in Clinic","Provides access to non-urgent medical care by in-person visit or virtual appointment for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","24527348","17652305","2506517677","https://www.northernhealth.ca/find-a-facility/medical-clinics/atlin-primary-care-clinic",,"Y",,"Mon 09:00 - 16:00; Tue 09:00 - 16:00; Wed 09:00 - 16:00; Thu 09:00 - 16:00; Fri 09:00 - 16:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays, and for lunch 12:00 - 13:00.","188 Discovery Avenue","","","","Atlin","BC","V0W 1A0","59.574828","-133.704315","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=17652305"
"LN-9300","Walk In Medical Clinics","17652139","Northern Health","17653501","Walk-in Clinic","Provides access to non-urgent medical care by in-person visit or virtual appointment for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","65917365","17652164","2506264702","https://www.northernhealth.ca/find-a-facility/health-units/masset-community-health",,"Y",,"Mon 08:00 - 16:30; Tue 08:00 - 16:30; Wed 08:00 - 16:30; Thu 08:00 - 16:30; Appointment required. Hours are subject to physician availability and patient volume. Closed statutory holidays.","2520 Harrison Avenue","","","","Masset","BC","V0T 1M0","54.012317","-132.151708","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=17652164"
"LN-9300","Walk In Medical Clinics","17655062","Canway Medical Centre","17655063","Walk-in Clinic","Provides access to non-urgent medical care by in-person visit or virtual appointment for people who need health advice, assessment and or treatment for minor illness and injuries. Appointment required for phone and walk-in visits. Call or visit to book a same or next-day appointment.","17655065","17655064","6044288123","https://www.canwaymedicalcentre.ca/",,"Y",,"Mon 08:30 - 16:00; Tue 08:30 - 16:00; Wed 08:30 - 16:00; Thu 08:30 - 16:00; Fri 08:30 - 16:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays, and for lunch 12:30 - 13:00.","4695 Canada Way","","","","Burnaby","BC","V5G 1K8","49.254122","-122.989460","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655063&SiteResourceAgencyNum=17655064"
"LN-9300","Walk In Medical Clinics","17655079","Care Point Medical and Wellness Clinics","17655143","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","17655144","17655087","6042545554","https://www.carepoint.ca/commercial-drive-vancouver/",,"Y",,"Mon 09:00 - 15:00; Tue 09:00 - 15:00; Wed 09:00 - 15:00; Thu 09:00 - 15:00; Fri 09:00 - 15:00; Mon - Fri walk-in service available. Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","1623 Commercial Drive","","","","Vancouver","BC","V5L 3Y3","49.270184","-123.069821","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655143&SiteResourceAgencyNum=17655087"
"LN-9300","Walk In Medical Clinics","17655079","Care Point Medical and Wellness Clinics","17655143","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","17655145","17655095","6044360800","https://www.carepoint.ca/joyce-street-vancouver/",,"Y",,"Mon 09:00 - 16:30; Tue 09:00 - 16:30; Wed 09:00 - 16:30; Thu 09:00 - 16:30; Fri 09:00 - 16:30; Sun 10:00 - 16:00; Walk-in service available; Sat by phone only. Note that hours are subject to physician availability and patient volume. Hours may be limited; call to confirm. Closed statutory holidays.","5138 Joyce Street","","","","Vancouver","BC","V5R 4H1","49.237824","-123.032060","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655143&SiteResourceAgencyNum=17655095"
"LN-9300","Walk In Medical Clinics","17655079","Care Point Medical and Wellness Clinics","17655143","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","17655148","17655085","6049159517","https://www.carepoint.ca/davie-street-vancouver/",,"Y",,"Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 09:00 - 17:00; Sat 10:00 - 15:00; Walk-in service available Mon - Fri; and Sat appointments are by phone only. Note that hours are subject to physician availability and patient volume. Statutory holiday hours may be available; call to confirm. Closed Christmas and New Year's Day.","1123 Davie Street","","","","Vancouver","BC","V6E 1N2","49.280813","-123.131466","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655143&SiteResourceAgencyNum=17655085"
"LN-9300","Walk In Medical Clinics","17655079","Care Point Medical and Wellness Clinics","17655143","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. The hours and appointment process varies per clinic; see the specific location for details.","17655149","17655101","6045231166","https://www.carepoint.ca/westminster-centre/",,"Y",,"Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 08:00 - 18:00; Sat 09:00 - 17:00; Appointment required. Note that hours are subject to physician availability and patient volume. Sunday hours may be available, call to confirm. Closed statutory holidays.","140-555 Sixth Street","","","","New Westminster","BC","V3L 5H1","49.212620","-122.919692","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655143&SiteResourceAgencyNum=17655101"
"LN-9300","Walk In Medical Clinics","17655151","Goldcity Walk-in Clinic","17655152","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. No appointment required.","17655154","17655153","2509926006",,,"Y",,"Mon 14:00 - 18:00; Tue 14:00 - 18:00; Wed 14:00 - 18:00; Thu 14:00 - 18:00; Fri 14:00 - 18:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","458 Reid Street","","","","Quesnel","BC","V2J 2M6","52.980010","-122.497053","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655152&SiteResourceAgencyNum=17655153"
"LN-9300","Walk In Medical Clinics","17655209","Murals Medical Clinic","17655210","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Appointment required; no walk-in accepted. In-person, virtual and phone visits are available.","17655212","17655211","6045329944",,,"Y",,"Mon 08:00 - 16:00; Tue 08:00 - 16:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 09:00 - 16:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","100-22314 Fraser Highway","","","","Langley","BC","V3A 8M6","49.090915","-122.606243","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655210&SiteResourceAgencyNum=17655211"
